Bus No,Start  Place,Start Time,Reach Time,Waiting Time(in min or sec),Bus Speed,Travelling Time,Notifying Time
6A,LBS Nagar,6:12,6:15,0:58,35,51 mins,6:07
6A,Payakapuram,6:15,6:17,0:10,35,45 mins,6:10
6A,Prakash Nagar,6:17,6:18,1,30,42 mins,6:10
6A,Pipula Road,6:18,6:20,1:08,30,40 mins,6:13
6A,Ajith Singh Nagar,6:20,6:22,1:15,40,39 mins,6:15
6A,Daba Kotlu Centre ,6:22,6:25,1:15,35,37 mins,6:17
6A,Budameru Bridge,6:25,6:30,0:10,30,35 mins,6:20
6A,Raghavendra Theatre,6:30,6:38,0:20,35,30 mins,6:25
6B,Prabhas College,6:20,6:22,0:56,35,33 mins,6:15
6B,Sitanna Pet Gate,6:22,6:25,0,30,31 mins,6:17
6B,Ambedkar Statue,6:25,6:28,1:02,30,29 mins,6:20
6B,Eluru Locks,6:28,6:30,0:35,30,26 mins,6:23
6B,Challapalli Bunglow,6:30,6:32,0:26,45,23 mins,6:25
6B,Bundar Lakulu,6:32,6:35,1:08,40,21 mins,6:17
6B,Fire Station,6:35,6:38,1:16,40,19 mins,6:30
6B,American Hospital,6:38,6:42,0:38,35,16 mins,6:33
6C,Sangeetha Kalasala (Food Junction),6:25,6:30,1:40,30,31 mins,6:20
6D,Madhura Nagar,6:28,6:30,0:46,30,28 mins,6:15
6D,Kotha Vanthena,6:30,6:31,1:05,25,25 mins,6:20
6D,Inox (Urvasi Theatre),6:31,6:32,1:26,30,24 mins,6:25
6D,Alankar Theatre,6:32,6:36,1:18,30,23 mins,6:27
7A,Sai Baba Temple,6:00,6:05,0:48,35,50 mins,5:55
7A,B. Colony Center ,6:05,6:08,0:24,40,46 mins,6:00
7A,A colony Gate ,6:08,6:10,1,30,43 mins,6:03
7A,IBM (SBI ATM),6:10,6:13,1:27,30,41 mins,6:05
7A,Tummalapalem,6:13,6:15,0:10,40,39 mins,6:08
7A, Khazipeta,6:15,6:18,0:52,40,37 mins,6:10
7A,Guntupalli Center,6:18,6:22,1:25,40,34 mins,6:13
7A,Wagon Work Shop Road ,6:22,6:25,0:30,35,30 mins,6:17
7A,Nallakunta-Ayyappa Nagar,6:25,6:30,0:26,35,27 mins,6:20
7B,Gollapudi One Center ,6:15,6:17,0:29,40,47 mins,6:10
7B,Mailurai Center,6:17,6:19,0:42,45,45 mins,6:12
7B,Andhra Hospital,6:19,6:21,0:15,30,43 mins,6:14
7B,Venkatesh Foundary,6:21,6:24,1:10,35,40 mins,6:14
7B,Swathi Theatre,6:24,6:27,0:35,40,37 mins,6:19
7B,Sivalayam ,6:27,6:34,0:28,30,34 mins,6:22
7B,Joji Nagar Church,6:34,6:40,0:15,30,29 mins,6:29
7B,Sitara,6:40,6:44,1:03,30,25 mins,6:35
7C,Chitti Nagar,6:25,6:30,0:25,40,39 mins,6:20
7C,Vagu Centre,6:30,6:33,0:48,40,34 mins,6:25
7C,Srinivas Mahal,6:33,6:36,0:52,35,29 mins,6:28
7C,Panja Centre,6:36,6:38,1:25,30,26 mins,6:31
7C,Rajakumari Theatre,6:38,6:42,1,40,24 mins,6:33
7C,K.R. Market ,6:42,6:45,0:37,30,20 mins,6:37
